Product Category,Current Stock,Previous Month Sales,Average Weekly Sales,Current Selling Price,Competitor Price,Customer Rating,Festival Season,Predicted Demand
Beauty & Personal Care,251,452,117.1,10.29,10.87,3.7,No,478
Beauty & Personal Care,26,125,31.63,49.36,45.79,4.4,No,186
Sports & Outdoors,170,113,24.39,204.34,197.32,2.9,No,126
Sports & Outdoors,419,177,35.75,66.99,65.4,4.2,No,229
Beauty & Personal Care,394,177,43.82,51.32,55.81,3.4,No,227
Fashion,23,402,97.55,90.9,94.8,3.8,Yes,506
Grocery,436,253,61.49,9.83,9.93,4.1,No,301
Beauty & Personal Care,132,159,38.87,72.75,79.48,5.0,No,223
Sports & Outdoors,194,435,108.25,57.72,53.76,3.4,No,464
Beauty & Personal Care,561,208,50.39,48.11,45.53,5.0,No,271
Fashion,462,278,69.35,66.25,63.82,3.5,No,316
Beauty & Personal Care,498,235,58.48,36.67,36.26,4.1,Yes,365
Home & Kitchen,461,18,4.51,92.42,87.79,5.0,No,94
Grocery,508,461,109.96,7.89,7.11,5.0,No,506
Sports & Outdoors,519,305,75.86,199.08,189.76,4.3,No,325
Grocery,34,247,57.65,6.16,5.62,3.8,No,302
Electronics,498,426,107.06,614.36,650.88,3.2,No,465
Electronics,409,39,9.08,844.8,862.11,3.6,Yes,157
Sports & Outdoors,58,187,43.51,80.77,77.18,3.3,Yes,290
Grocery,337,32,3.83,21.66,22.66,3.1,No,62
Home & Kitchen,579,260,59.8,144.79,138.17,4.1,No,302
Sports & Outdoors,179,57,12.44,204.33,193.06,4.3,No,103
Home & Kitchen,465,115,20.03,73.54,71.99,3.6,No,170
Grocery,150,325,82.19,5.12,4.76,3.3,No,348
Beauty & Personal Care,225,452,112.71,58.2,54.63,3.6,No,474
Home & Kitchen,13,343,82.05,53.7,52.75,4.4,No,379
Home & Kitchen,304,64,12.69,150.21,146.02,3.7,No,120
Beauty & Personal Care,320,429,112.74,28.84,28.65,3.0,No,486
Electronics,345,366,90.38,1131.15,1173.93,4.2,No,420
Fashion,186,213,51.22,49.16,52.75,3.6,No,268
Fashion,385,319,81.96,72.92,69.65,5.0,No,390
Electronics,189,347,86.58,844.2,869.9,4.4,No,395
Home & Kitchen,205,256,63.14,186.48,180.21,2.4,No,294
Home & Kitchen,573,53,14.68,129.96,128.05,3.0,No,96
Sports & Outdoors,132,208,56.87,132.57,121.15,5.0,Yes,353
Beauty & Personal Care,484,370,94.61,51.59,49.61,4.2,No,434
Beauty & Personal Care,341,137,31.84,39.85,36.2,3.6,No,188
Sports & Outdoors,376,302,81.32,206.16,223.65,3.8,No,322
Grocery,255,220,52.25,7.48,6.75,4.8,No,295
Sports & Outdoors,591,464,116.68,157.68,154.17,3.7,No,501
Sports & Outdoors,62,358,87.11,30.47,32.85,3.8,No,377
Fashion,479,427,105.98,131.04,133.46,3.2,No,478
Home & Kitchen,175,218,49.77,162.78,160.37,4.2,No,261
Beauty & Personal Care,141,379,89.54,69.2,65.0,3.9,No,406
Home & Kitchen,431,454,117.04,54.41,55.91,5.0,No,508
Home & Kitchen,380,244,56.42,134.06,124.78,3.9,Yes,360
Grocery,425,373,89.15,17.99,18.19,3.8,No,401
Sports & Outdoors,219,274,72.19,108.05,113.59,2.3,No,291
Beauty & Personal Care,168,293,75.56,32.88,34.96,2.7,No,315
Sports & Outdoors,511,428,106.99,236.15,253.75,4.1,Yes,551
Beauty & Personal Care,173,78,12.71,40.79,40.1,3.2,No,108
Beauty & Personal Care,431,320,77.7,36.91,35.71,3.7,Yes,420
Sports & Outdoors,287,232,55.69,42.37,40.29,3.7,No,262
Home & Kitchen,308,427,107.61,37.26,34.66,5.0,Yes,539
Sports & Outdoors,272,488,122.83,62.18,59.88,1.6,No,504
Beauty & Personal Care,23,269,68.96,75.74,70.05,4.3,Yes,382
Beauty & Personal Care,159,416,106.05,56.4,56.19,4.0,No,473
Home & Kitchen,176,261,64.18,53.07,53.78,4.7,Yes,370
Sports & Outdoors,382,288,74.52,105.06,99.1,4.0,No,320
Home & Kitchen,148,383,94.94,105.67,96.54,2.2,Yes,452
Sports & Outdoors,420,181,41.22,162.03,164.35,4.3,Yes,310
Beauty & Personal Care,391,494,125.19,68.28,68.87,4.9,Yes,605
Grocery,151,280,68.57,2.7,2.64,3.0,No,310
Fashion,199,354,90.23,79.05,71.26,3.9,No,393
Electronics,412,330,80.95,1113.42,1175.28,3.7,No,365
Fashion,175,222,59.55,128.69,123.46,2.8,No,259
Sports & Outdoors,183,467,119.68,33.04,29.76,2.4,No,504
Electronics,433,246,59.31,835.62,848.93,4.3,Yes,374
Beauty & Personal Care,499,211,54.61,47.38,47.14,4.6,No,296
Grocery,237,161,37.28,24.82,23.53,3.9,No,209
Electronics,293,65,18.28,167.51,157.28,4.9,No,135
Beauty & Personal Care,347,140,36.43,12.29,12.76,3.7,No,177
Home & Kitchen,443,324,81.5,156.09,171.51,3.5,Yes,435
Grocery,317,377,90.73,11.33,11.01,4.9,Yes,525
Grocery,351,315,77.14,12.62,11.47,4.4,No,374
Beauty & Personal Care,405,104,31.34,44.95,41.63,2.6,No,134
Home & Kitchen,79,439,108.08,88.95,96.21,3.2,No,482
Beauty & Personal Care,39,369,92.62,12.38,11.22,3.3,Yes,492
Sports & Outdoors,29,15,4.44,224.3,228.65,4.7,No,87
Electronics,49,56,14.58,339.82,324.11,3.5,No,89
Sports & Outdoors,546,35,14.51,34.17,31.35,3.0,Yes,157
Home & Kitchen,392,395,103.73,164.25,148.28,4.8,No,465
Electronics,529,286,73.49,892.37,921.38,2.5,No,322
Grocery,168,205,50.3,6.93,7.48,3.3,Yes,307
Beauty & Personal Care,576,282,72.6,10.9,10.93,3.7,No,335
Sports & Outdoors,17,488,122.56,198.74,209.31,3.2,No,522
Fashion,196,373,97.42,64.54,59.99,4.5,No,414
Home & Kitchen,496,481,125.24,109.45,118.68,4.2,No,541
Grocery,148,197,50.46,16.58,15.01,3.3,No,227
Fashion,526,234,58.39,96.0,95.72,4.4,No,291
Fashion,156,50,13.83,142.58,147.79,3.3,No,89
Sports & Outdoors,570,496,121.63,29.97,28.03,3.9,Yes,604
Sports & Outdoors,316,329,84.7,45.95,47.83,3.6,No,389
Grocery,579,260,69.46,8.72,9.35,4.3,No,330
Home & Kitchen,376,179,52.21,97.57,103.98,4.1,No,239
Sports & Outdoors,54,461,117.25,180.82,196.09,3.6,Yes,568
Sports & Outdoors,595,220,53.46,97.2,104.25,3.8,No,281
Beauty & Personal Care,86,430,105.31,79.67,86.23,4.0,Yes,526
Sports & Outdoors,314,469,117.3,134.32,124.61,4.6,No,486
Electronics,310,70,13.31,706.57,702.05,4.8,No,126
Fashion,486,142,31.9,49.65,52.15,2.3,No,158
Electronics,430,339,88.04,422.58,380.46,4.7,No,359
Electronics,534,336,85.44,326.21,301.44,4.4,Yes,440
Electronics,110,230,59.8,473.09,448.7,4.0,No,270
Electronics,430,453,117.01,508.31,502.64,3.6,No,497
Sports & Outdoors,300,300,76.29,197.84,196.29,3.9,No,351
Sports & Outdoors,478,484,122.01,108.68,116.57,4.1,No,516
Grocery,87,212,51.45,9.43,10.05,3.4,Yes,314
Sports & Outdoors,558,333,80.55,244.71,259.78,2.5,No,361
Electronics,573,308,76.02,486.42,453.76,3.6,No,340
Home & Kitchen,532,496,124.54,24.79,27.05,4.8,No,555
Fashion,395,350,86.78,30.6,32.66,3.7,No,393
Home & Kitchen,331,195,45.77,81.64,79.9,3.2,No,251
Fashion,505,139,37.01,75.37,80.34,3.2,No,205
Fashion,48,212,51.1,40.1,43.72,4.4,No,278
Grocery,338,199,51.1,18.09,18.1,3.9,No,265
Beauty & Personal Care,587,168,43.87,53.59,53.06,4.8,No,236
Fashion,587,57,16.84,24.32,23.52,4.6,No,105
Fashion,60,240,61.54,47.65,46.94,5.0,No,314
Sports & Outdoors,118,169,49.76,182.48,171.28,2.4,No,173
Beauty & Personal Care,541,285,70.1,13.2,13.4,3.0,No,302
Sports & Outdoors,134,55,15.52,33.94,31.54,3.5,No,100
Electronics,345,332,81.39,267.06,270.82,4.6,No,400
Fashion,18,379,95.12,133.34,139.44,4.5,No,416
Electronics,269,171,43.89,924.82,942.84,3.8,No,228
Home & Kitchen,437,499,118.78,175.8,161.28,5.0,No,544
Fashion,181,494,116.91,137.79,139.69,3.8,No,543
Electronics,412,69,14.44,1024.58,1124.12,4.2,No,179
Beauty & Personal Care,161,324,79.33,36.94,38.22,3.8,No,395
Home & Kitchen,125,350,85.47,135.72,128.1,4.1,No,383
Beauty & Personal Care,286,226,53.85,72.65,73.01,2.1,No,214
Fashion,280,248,63.27,146.93,139.36,4.6,No,310
Grocery,560,60,19.56,19.59,21.45,4.4,No,118
Home & Kitchen,484,292,73.59,30.55,32.64,2.8,Yes,408
Grocery,147,276,70.37,3.48,3.38,3.6,No,306
Beauty & Personal Care,271,307,76.0,16.58,15.39,4.0,No,332
Sports & Outdoors,368,342,85.9,86.97,82.88,4.1,No,390
Fashion,401,136,31.31,28.69,30.36,3.8,Yes,270
Fashion,334,120,31.7,93.66,86.62,4.1,Yes,228
Grocery,313,281,71.39,16.15,16.48,5.0,No,332
Home & Kitchen,442,24,4.23,157.14,153.54,4.4,No,91
Home & Kitchen,298,320,81.85,23.25,25.08,2.8,No,344
Sports & Outdoors,246,203,44.52,231.33,208.75,3.7,No,233
Beauty & Personal Care,356,262,64.13,20.93,20.01,2.8,No,261
Home & Kitchen,29,318,78.53,167.32,163.24,3.5,No,371
Fashion,92,189,46.61,71.93,65.31,5.0,No,234
Beauty & Personal Care,168,44,8.66,63.19,69.08,3.7,No,73
Electronics,144,338,84.92,1040.59,1079.13,3.3,No,384
Fashion,254,323,77.04,23.62,22.76,4.0,No,372
Home & Kitchen,155,170,43.17,111.24,119.26,4.6,No,230
Sports & Outdoors,173,202,49.11,141.28,132.58,4.2,No,246
Fashion,581,262,63.2,137.69,144.86,3.1,Yes,382
Home & Kitchen,223,25,7.19,199.15,197.17,4.0,No,76
Grocery,304,158,40.91,9.53,10.46,4.2,No,220
Home & Kitchen,288,104,26.24,26.47,26.67,3.9,No,154
Sports & Outdoors,185,240,60.49,191.58,208.49,3.1,No,302
Electronics,403,85,24.3,1125.87,1059.4,4.4,No,119
Grocery,424,24,4.13,8.66,9.5,4.8,No,100
Beauty & Personal Care,230,465,119.2,61.34,61.86,4.2,No,508
Electronics,372,269,71.5,616.8,646.7,3.7,Yes,377
Grocery,154,361,90.92,17.34,15.66,4.6,No,414
Home & Kitchen,371,213,52.05,58.72,63.82,4.1,No,262
Grocery,543,313,80.92,18.36,18.66,3.9,No,344
Home & Kitchen,48,428,99.11,193.67,201.31,3.4,No,460
Fashion,407,357,87.62,69.23,69.27,4.6,No,400
Sports & Outdoors,584,434,106.69,85.0,89.76,2.8,Yes,531
Grocery,448,48,6.06,2.73,2.7,3.5,No,93
Electronics,62,106,32.11,1159.49,1191.01,3.8,Yes,245
Electronics,450,76,26.05,599.77,543.04,3.4,No,121
Fashion,131,122,23.22,67.54,72.77,3.7,No,175
Sports & Outdoors,61,485,121.45,224.25,213.61,3.5,No,510
Electronics,440,251,58.04,207.71,210.97,4.2,No,266
Home & Kitchen,501,123,30.5,145.45,142.33,4.7,No,185
Electronics,377,297,75.93,420.51,416.3,4.7,No,366
Sports & Outdoors,208,265,67.59,37.79,34.43,3.7,Yes,374
Beauty & Personal Care,369,160,39.11,14.52,15.01,4.0,No,186
Home & Kitchen,107,162,38.22,105.86,100.8,3.4,Yes,237
Sports & Outdoors,483,430,109.27,149.23,160.08,4.0,No,468
Sports & Outdoors,498,176,41.73,122.61,120.02,3.7,No,223
Fashion,198,403,97.84,84.38,87.59,3.6,No,453
Grocery,92,220,51.64,18.81,17.12,4.6,Yes,350
Home & Kitchen,126,120,28.19,70.94,66.57,3.0,No,130
Electronics,49,210,51.44,670.84,604.8,4.6,No,232
Home & Kitchen,78,285,73.3,15.77,16.85,2.9,Yes,388
Grocery,142,81,20.16,6.67,6.34,3.4,No,115
Sports & Outdoors,520,225,53.87,111.62,116.17,3.5,No,253
Grocery,477,497,122.36,3.1,2.99,4.4,No,550
Sports & Outdoors,593,155,39.9,99.52,103.25,3.6,No,202
Home & Kitchen,231,80,23.66,155.59,149.49,3.1,No,136
Fashion,121,367,99.25,68.57,67.63,4.0,No,400
Fashion,74,376,92.65,18.66,18.47,5.0,No,436
Electronics,74,240,55.97,421.01,417.98,4.2,Yes,367
Sports & Outdoors,53,144,36.77,118.08,107.19,4.5,No,193
Beauty & Personal Care,304,288,78.29,54.01,49.49,2.7,No,316
Fashion,305,101,18.14,29.41,30.29,5.0,No,172
Sports & Outdoors,457,328,85.92,161.06,152.04,4.5,Yes,451
Home & Kitchen,186,240,59.86,106.33,107.86,4.2,No,277
Home & Kitchen,106,396,102.67,60.07,57.42,4.7,No,465
Sports & Outdoors,285,80,23.99,45.16,46.52,4.8,No,156
Grocery,192,400,104.49,20.92,21.76,3.4,No,441
Sports & Outdoors,393,203,52.77,94.48,102.3,3.8,No,273
Beauty & Personal Care,261,360,86.74,59.5,56.74,3.4,No,390
Beauty & Personal Care,362,273,62.91,13.54,14.0,2.3,No,297
Sports & Outdoors,275,35,4.01,74.75,76.71,5.0,No,105
Sports & Outdoors,411,168,44.49,219.36,205.74,4.5,No,212
Sports & Outdoors,224,426,105.7,40.73,38.31,3.9,No,474
Beauty & Personal Care,77,403,101.71,28.43,29.53,4.4,No,442
Sports & Outdoors,6,139,36.15,206.02,209.27,4.8,No,212
Home & Kitchen,121,164,42.91,64.37,66.18,4.2,No,222
Grocery,540,60,13.62,19.7,18.59,3.6,No,109
Fashion,119,49,14.24,49.21,53.1,3.4,No,79
Electronics,280,40,9.13,356.5,388.39,4.2,No,95
Fashion,314,131,33.2,55.71,52.24,4.2,No,196
Fashion,185,97,18.73,122.4,113.62,4.1,Yes,203
Home & Kitchen,70,178,44.04,41.34,38.24,3.7,No,238
Beauty & Personal Care,565,324,84.43,20.4,20.12,3.1,No,363
Beauty & Personal Care,499,16,7.27,78.56,86.19,4.7,No,83
Electronics,16,225,57.97,1049.95,1116.54,3.5,No,261
Grocery,33,403,101.86,7.44,6.8,4.3,No,471
Sports & Outdoors,235,134,36.02,200.97,208.23,3.6,Yes,234
Grocery,465,284,73.46,5.67,5.11,4.0,No,345
Home & Kitchen,238,66,12.81,184.0,184.11,3.6,No,115
Electronics,390,140,30.55,970.82,913.3,4.0,No,166
Electronics,176,193,48.56,324.87,356.46,3.5,Yes,330
Home & Kitchen,387,61,15.23,170.16,168.32,4.4,No,137
Sports & Outdoors,192,388,92.86,140.68,154.64,4.8,No,446
Fashion,104,319,79.1,96.58,99.09,4.6,No,372
Fashion,332,269,68.72,38.32,39.25,4.3,No,314
Grocery,417,229,57.71,11.73,11.79,4.3,Yes,374
Grocery,110,243,58.99,18.71,17.71,4.1,No,307
Home & Kitchen,22,387,95.83,59.08,63.42,4.7,No,450
Beauty & Personal Care,54,53,9.59,44.53,44.01,3.6,No,90
Sports & Outdoors,190,120,31.91,130.71,122.67,5.0,No,183
Sports & Outdoors,237,40,11.88,140.27,143.96,3.1,No,87
Fashion,38,197,47.55,69.85,75.81,3.6,No,240
Fashion,333,134,30.69,130.45,126.76,4.9,No,206
Home & Kitchen,579,474,114.73,146.34,154.44,4.4,No,513
Electronics,178,144,35.43,175.9,172.62,4.0,No,177
Beauty & Personal Care,196,433,107.03,22.89,24.84,4.0,No,465
Fashion,153,180,48.2,130.85,128.44,4.1,No,224
Electronics,433,335,85.48,576.79,608.15,3.8,No,408
Fashion,73,258,67.81,44.11,46.88,4.1,No,295
Electronics,224,99,25.13,754.58,776.49,3.1,Yes,222
Electronics,345,144,45.68,886.43,800.34,4.0,No,164
Beauty & Personal Care,458,34,6.13,57.28,57.32,3.9,No,97
Electronics,265,321,78.62,1052.94,992.51,3.4,No,337
Fashion,165,292,73.87,141.15,132.87,3.3,No,330
Home & Kitchen,502,30,4.24,27.0,26.56,4.3,Yes,152
Fashion,309,91,20.98,52.01,50.14,4.1,No,128
Beauty & Personal Care,83,74,13.01,28.82,28.54,3.8,No,108
Electronics,363,303,77.69,712.47,697.39,3.9,No,359
Sports & Outdoors,535,252,61.31,28.03,28.33,4.4,No,308
Grocery,527,340,84.8,9.35,8.61,4.9,No,389
Beauty & Personal Care,528,236,57.44,30.11,27.31,4.2,No,263
Grocery,287,255,60.16,8.04,7.53,4.7,No,302
Home & Kitchen,202,451,114.71,14.02,13.79,3.4,No,503
Beauty & Personal Care,547,240,56.8,66.92,69.37,5.0,Yes,380
Fashion,41,238,58.66,39.1,39.05,4.4,No,290
Fashion,437,151,40.36,22.02,20.32,3.1,Yes,263
Grocery,368,410,106.97,15.32,15.83,4.1,Yes,529
Fashion,508,98,23.9,140.98,144.85,3.3,No,147
Sports & Outdoors,416,64,14.56,21.46,21.05,3.2,No,112
Grocery,376,309,79.2,24.9,25.72,3.3,No,337
Beauty & Personal Care,247,83,18.26,26.34,26.28,4.0,Yes,204
Electronics,241,351,87.88,703.36,712.02,4.8,Yes,498
Beauty & Personal Care,330,351,84.99,43.94,40.51,2.9,Yes,442
Grocery,28,358,92.48,19.89,21.63,4.9,No,429
Electronics,120,377,92.83,226.15,235.34,4.4,No,429
Beauty & Personal Care,241,56,11.53,36.96,33.64,3.0,No,80
Home & Kitchen,297,275,71.15,29.92,28.53,5.0,Yes,420
Fashion,490,21,2.55,64.51,59.42,4.3,No,92
Home & Kitchen,475,211,47.17,115.28,107.78,4.6,No,258
Beauty & Personal Care,177,469,117.54,61.32,64.47,3.3,No,513
Home & Kitchen,217,295,76.4,98.12,91.72,4.7,No,327
Grocery,463,220,53.9,21.51,20.03,3.7,No,260
Home & Kitchen,240,235,61.39,188.77,195.22,3.5,No,307
Beauty & Personal Care,159,260,68.07,22.04,23.48,3.6,No,305
Sports & Outdoors,91,54,11.67,48.28,44.44,3.3,No,97
Grocery,156,256,63.63,21.9,23.57,4.1,No,306
Grocery,83,177,44.18,19.78,19.31,2.4,No,195
Home & Kitchen,448,397,100.42,137.44,131.1,2.3,No,421
Fashion,243,355,84.71,26.39,27.37,3.2,Yes,474
Sports & Outdoors,168,406,98.87,27.39,24.86,2.2,No,404
Electronics,239,70,17.67,950.57,1026.67,3.4,No,150
Home & Kitchen,107,322,79.98,196.2,199.98,3.7,No,360
Fashion,296,76,19.07,145.74,146.92,4.4,No,135
Electronics,227,166,41.78,810.89,771.47,4.5,No,201
Fashion,89,154,38.52,98.09,92.06,5.0,No,229
Beauty & Personal Care,66,45,14.38,72.23,75.59,4.9,No,106
Fashion,242,100,27.89,26.9,26.44,4.5,No,176
Sports & Outdoors,481,169,40.26,216.38,224.35,2.6,No,209
Grocery,448,390,97.78,9.23,8.89,4.4,Yes,512
Home & Kitchen,228,415,102.62,178.33,188.14,3.4,No,462
Home & Kitchen,100,177,43.26,73.91,75.19,4.1,No,224
Sports & Outdoors,586,360,91.72,74.25,74.11,3.4,Yes,491
Electronics,108,328,88.16,282.44,284.11,4.6,No,418
Electronics,27,301,77.54,202.07,185.69,2.8,Yes,381
Sports & Outdoors,516,226,61.61,96.61,92.07,4.1,No,282
Fashion,271,59,12.45,141.09,148.61,3.9,No,116
Sports & Outdoors,327,189,47.48,232.29,233.09,4.0,Yes,299
Fashion,400,195,48.63,143.32,139.98,2.9,No,231
Electronics,213,63,14.67,1164.32,1078.31,3.7,No,77
Beauty & Personal Care,456,108,27.57,68.56,62.2,3.9,No,160
Grocery,132,243,61.04,2.73,2.88,4.2,No,301
Sports & Outdoors,33,411,100.37,141.21,147.91,4.4,No,456
Beauty & Personal Care,301,307,78.36,79.9,72.31,3.6,No,361
Sports & Outdoors,328,217,53.88,172.29,185.67,3.8,No,276
Beauty & Personal Care,534,75,17.16,27.34,27.31,4.0,No,118
Fashion,479,106,24.05,80.3,77.0,4.7,No,173
Electronics,122,100,23.93,788.26,773.03,3.2,No,142
Beauty & Personal Care,50,103,26.73,40.57,37.89,5.0,No,176
Home & Kitchen,562,427,107.43,80.39,81.5,3.6,No,470
Electronics,323,105,23.31,412.38,400.52,4.6,Yes,200
Sports & Outdoors,452,26,5.36,74.22,80.47,4.6,No,120
Grocery,559,199,46.67,4.53,4.56,3.9,No,239
Electronics,180,404,101.43,706.95,729.97,2.8,No,465
Sports & Outdoors,272,267,70.3,195.29,213.75,4.3,No,353
Grocery,132,306,78.02,4.75,4.91,5.0,No,374
Beauty & Personal Care,207,280,74.74,65.18,65.11,3.7,No,340
Fashion,47,436,108.41,107.57,115.29,3.2,No,466
Fashion,217,341,82.8,54.98,55.77,3.6,No,387
Home & Kitchen,296,397,100.12,187.2,183.25,3.4,No,445
Beauty & Personal Care,325,217,55.33,26.23,26.52,4.6,No,283
Grocery,142,43,9.62,17.81,16.09,2.9,No,66
Grocery,389,412,98.11,8.17,8.14,3.5,No,460
Fashion,565,351,86.18,92.11,96.63,2.9,No,372
Electronics,154,87,19.06,388.69,376.19,3.3,No,118
Electronics,553,148,36.02,243.81,240.78,3.4,No,178
Grocery,582,179,44.98,19.98,18.05,3.6,No,222
Fashion,406,377,98.36,141.02,136.64,4.1,No,413
Beauty & Personal Care,397,358,90.03,70.05,69.73,3.2,No,375
Sports & Outdoors,64,334,81.41,86.51,79.35,4.1,No,393
Beauty & Personal Care,446,319,84.6,12.64,13.83,5.0,No,382
Beauty & Personal Care,105,42,12.81,66.08,60.13,4.8,Yes,183
Beauty & Personal Care,142,141,34.43,44.23,42.6,2.4,No,172
Beauty & Personal Care,539,280,73.28,29.85,29.24,3.7,No,304
Beauty & Personal Care,597,121,35.82,34.3,34.54,4.7,No,183
Beauty & Personal Care,136,219,59.52,30.79,32.48,3.8,Yes,359
Home & Kitchen,590,68,17.44,163.79,173.62,4.4,No,126
Fashion,118,414,105.12,106.27,104.25,4.5,No,468
Grocery,358,180,41.77,24.25,26.26,4.2,Yes,298
Home & Kitchen,481,459,110.85,123.81,113.21,4.0,Yes,568
Grocery,535,478,120.87,16.4,15.0,3.7,No,512
Home & Kitchen,89,37,11.27,145.88,140.48,3.3,No,76
Sports & Outdoors,160,496,123.38,60.32,56.59,4.7,No,548
Sports & Outdoors,289,152,35.61,16.15,17.56,5.0,No,214
Fashion,132,34,7.99,135.99,144.33,2.2,Yes,116
Beauty & Personal Care,232,33,16.56,69.84,71.64,4.4,No,111
Electronics,295,156,38.83,586.87,642.96,4.7,No,225
Home & Kitchen,512,150,42.07,137.74,138.6,3.8,No,206
Home & Kitchen,110,153,37.95,133.34,138.62,3.6,No,200
Grocery,574,102,22.92,23.77,23.65,4.7,No,154
Electronics,450,239,59.26,226.01,216.53,3.9,No,288
Fashion,67,223,54.87,78.96,78.12,4.3,No,251
Sports & Outdoors,514,63,8.6,239.12,245.92,4.4,No,127
Beauty & Personal Care,253,332,83.87,37.83,34.9,4.0,No,370
Sports & Outdoors,70,442,115.24,209.56,220.93,3.6,Yes,582
Electronics,321,60,15.21,491.99,489.29,3.5,No,121
Electronics,14,164,38.42,1091.1,1070.26,4.2,No,222
Grocery,487,71,13.19,5.89,6.28,3.4,No,128
Beauty & Personal Care,27,389,95.01,26.03,27.62,3.4,No,439
Electronics,195,27,6.79,232.46,225.78,4.1,No,101
Grocery,424,407,99.38,3.29,3.44,5.0,No,474
Beauty & Personal Care,15,378,90.48,70.17,76.02,3.6,No,425
Electronics,393,140,38.09,985.05,913.24,4.4,No,168
Electronics,349,132,27.33,636.73,686.12,5.0,No,192
Fashion,422,445,114.51,32.69,33.35,4.4,Yes,570
Electronics,388,342,85.24,604.06,618.94,3.9,Yes,454
Electronics,198,383,95.23,420.7,412.86,3.9,No,439
Fashion,233,311,82.37,149.27,148.73,3.7,Yes,448
Sports & Outdoors,500,491,118.42,30.74,27.84,4.4,No,532
Grocery,385,477,118.72,5.22,5.52,3.1,Yes,564
Home & Kitchen,573,293,76.37,87.9,87.58,4.0,Yes,419
Fashion,355,104,25.54,89.81,90.3,4.4,No,177
Home & Kitchen,357,304,76.45,153.22,144.61,4.1,No,363
Home & Kitchen,394,237,55.34,63.3,67.36,4.1,No,318
Home & Kitchen,77,87,26.55,88.08,90.36,4.3,No,169
Grocery,284,212,57.19,19.27,18.41,4.7,No,269
Fashion,353,187,46.77,46.54,45.7,2.9,No,188
Grocery,150,125,25.58,5.63,5.23,4.1,Yes,242
Sports & Outdoors,524,271,69.1,142.31,131.81,3.6,No,322
Fashion,476,373,90.53,84.98,78.4,3.5,No,390
Fashion,248,37,9.46,34.91,35.69,2.7,No,75
Sports & Outdoors,128,27,5.95,45.92,44.1,3.8,Yes,155
Fashion,221,343,84.88,34.28,35.62,4.5,Yes,483
Home & Kitchen,69,128,31.21,142.13,151.38,3.9,No,174
Home & Kitchen,341,171,46.44,186.59,191.38,3.7,No,219
Grocery,329,473,123.42,5.97,6.17,3.7,No,489
Fashion,29,306,74.07,118.09,129.72,5.0,No,356
Sports & Outdoors,261,71,19.32,143.05,136.86,3.6,Yes,191
Fashion,149,248,62.88,62.12,67.91,4.4,No,287
Electronics,182,63,14.21,192.61,208.55,3.5,No,126
Beauty & Personal Care,378,60,19.51,27.01,24.34,3.7,No,102
Electronics,218,228,57.79,394.2,402.69,3.0,No,263
Fashion,241,75,16.4,92.42,87.16,4.3,No,145
Electronics,553,345,86.36,431.16,427.28,5.0,No,402
Sports & Outdoors,453,127,28.87,183.43,190.99,4.3,No,171
Fashion,383,415,108.56,113.78,105.91,3.9,Yes,544
Fashion,199,120,27.66,96.56,89.24,4.1,Yes,224
Electronics,207,481,118.07,602.53,563.34,3.9,No,509
Electronics,480,476,124.58,175.93,186.85,3.2,No,528
Electronics,570,137,36.03,169.3,175.72,4.6,Yes,255
Sports & Outdoors,94,268,63.32,172.36,188.58,3.5,Yes,360
Electronics,236,35,6.07,470.08,487.75,3.6,Yes,168
Beauty & Personal Care,590,82,16.36,41.78,40.67,2.6,Yes,197
Fashion,421,143,39.43,77.11,72.38,3.8,No,197
Home & Kitchen,180,203,51.07,95.63,100.48,4.0,No,262
Home & Kitchen,271,291,78.05,168.38,158.11,3.8,No,349
Electronics,146,43,6.58,419.95,418.22,3.6,No,89
Sports & Outdoors,84,410,105.22,167.94,171.77,4.6,Yes,532
Electronics,391,126,31.29,850.79,767.88,2.1,No,114
Beauty & Personal Care,316,494,124.13,25.97,27.93,4.2,Yes,621
Beauty & Personal Care,125,277,72.58,76.59,75.13,3.9,No,329
Fashion,507,399,96.56,71.02,68.56,4.4,No,449
Fashion,119,101,18.91,89.15,93.58,3.8,No,159
Fashion,25,348,90.81,121.57,127.0,4.4,No,401
Grocery,472,103,25.75,21.25,22.11,2.8,No,145
Electronics,533,487,122.89,1068.64,1126.73,5.0,No,563
Home & Kitchen,268,103,27.86,143.75,156.56,3.5,No,136
Electronics,41,495,124.38,719.7,681.27,4.8,Yes,608
Electronics,346,45,14.18,1115.86,1016.58,3.9,No,79
Sports & Outdoors,282,82,23.12,151.49,157.99,4.1,No,148
Electronics,127,23,6.03,858.89,844.71,3.2,No,49
Electronics,510,453,119.59,200.23,214.25,3.6,No,517
Beauty & Personal Care,235,197,46.26,49.78,53.8,4.3,No,257
Sports & Outdoors,148,439,106.24,64.63,62.22,2.9,No,458
Home & Kitchen,218,159,41.47,27.53,28.79,3.2,No,211
Electronics,71,224,56.92,1096.24,1151.2,5.0,No,308
Beauty & Personal Care,233,156,41.84,78.15,71.06,4.0,No,214
Sports & Outdoors,469,114,25.83,128.63,133.4,4.0,No,178
Home & Kitchen,515,274,69.48,39.72,42.5,3.5,No,318
Electronics,81,276,73.6,441.3,453.9,4.4,No,345
Beauty & Personal Care,161,61,15.47,45.27,45.98,4.6,No,112
Grocery,335,81,17.51,13.95,14.27,3.3,No,122
